project_type,department,state,district,approved_budget,amount_claimed,amount_released,work_completion_percent,expected_completion_days,actual_days_since_start,delay_ratio,invoice_count,average_invoice_amount,largest_invoice_amount,payment_frequency_per_month,same_vendor_invoice_count,inspection_status,last_inspection_days_ago,geo_tagged_proof_submitted,proof_document_count,complaints_count,contractor_previous_projects,contractor_avg_delay_days,contractor_avg_budget_overrun,contractor_blacklist_flag,approved_work_quantity,claimed_work_quantity,verified_work_quantity,quantity_mismatch_ratio,budget_claim_ratio,fraud_score,fraud_label
Welfare Distribution,Social Welfare Department,Kerala,Kollam,84012150.79,33215511.26,30194709.37,42.97,201,64,0.3184,13,2555039.33,12893227.74,8.31,15,Completed,139,0,7,2,13,0.59,0.11,0,104406.61,98184.26,103173.07,-0.0478,0.3954,0.1094,0
Water Pipeline,Water Resources Department,Telangana,Hyderabad,54007607.72,49244077.53,30510556.11,59.8,829,971,1.1713,172,286302.78,947178.09,3.39,59,Pending,49,0,3,68,88,118.46,0.32,1,188297.41,232224.94,139800.79,0.4908,0.9118,0.7167,1
Water Pipeline,Water Resources Department,Telangana,Warangal,46399886.02,38621156.26,17467247.36,24.17,574,1071,1.8659,164,235494.86,910854.07,3.82,92,Pending,337,0,2,24,38,59.74,0.53,0,220602.19,303347.82,131685.56,0.7782,0.8324,0.7252,1
Hospital Development,Health Department,Andhra Pradesh,Vijayawada,7598854.36,4495769.6,4020691.46,91.76,504,467,0.9266,50,89915.39,126586.87,2.95,16,Completed,30,1,17,5,32,15.27,0.12,0,226027.78,240118.37,189874.69,0.2223,0.5916,0.111,0
Welfare Distribution,Social Welfare Department,Rajasthan,Jaipur,55733790.17,53352824.68,47323564.65,56.32,960,612,0.6375,49,1088833.16,3333467.42,1.54,2,Completed,213,1,53,1,78,10.37,0.1,0,220953.49,236154.95,196800.69,0.1781,0.9573,0.2026,0
Road Construction,Public Works Department,Karnataka,Hubballi,1825988.33,1052629.28,936631.7,81.82,578,419,0.7249,20,52631.46,120787.38,0.95,4,Completed,275,1,55,6,86,5.8,0.06,0,108473.06,101110.95,113718.65,-0.1162,0.5765,0.0,0
Welfare Distribution,Social Welfare Department,Tamil Nadu,Madurai,53659045.58,80862023.93,76604397.5,47.27,545,414,0.7596,93,869484.13,3126107.96,8.53,39,Completed,46,0,3,88,15,186.38,0.34,1,80703.92,151639.3,35087.55,1.4442,1.507,0.8151,1
Bridge Construction,Public Works Department,Uttar Pradesh,Lucknow,44337431.53,44677718.12,40052914.56,97.73,141,157,1.1135,23,1942509.48,3346178.82,8.46,0,Completed,212,1,71,6,97,19.52,0.14,0,83496.39,84625.62,76597.43,0.0962,1.0077,0.0939,0
Bridge Construction,Public Works Department,Tamil Nadu,Tiruchirappalli,38693746.13,22569046.55,18960731.88,74.59,407,107,0.2629,34,663795.49,3041606.9,2.92,11,Completed,287,1,26,7,25,29.4,0.07,0,5243.46,4788.42,4722.21,0.0126,0.5833,0.0086,0
Electricity Infrastructure,Energy Department,Rajasthan,Ajmer,72347936.4,14605669.45,13547627.65,52.37,688,579,0.8416,16,912854.34,4434948.24,5.55,15,Completed,348,1,46,11,31,11.4,0.11,0,2260.34,2464.77,2236.05,0.1012,0.2019,0.0649,0
Drainage System,Municipal Administration,Telangana,Khammam,5184426.27,4109498.74,3724917.32,77.19,477,498,1.044,36,114152.74,315268.52,1.91,2,Completed,251,1,59,1,19,1.67,0.13,0,236520.56,262121.98,223416.18,0.1636,0.7927,0.0504,0
Bridge Construction,Public Works Department,Gujarat,Vadodara,36479729.38,31321398.44,18273226.11,12.46,253,260,1.0277,169,185333.72,522836.17,7.26,31,Completed,214,0,6,75,53,54.68,0.48,1,16036.96,25805.57,6818.06,1.184,0.8586,0.7797,1
Bridge Construction,Public Works Department,Madhya Pradesh,Indore,27746084.78,12346768.73,9565991.2,86.83,714,461,0.6457,49,251974.87,1134906.23,6.6,18,Completed,314,1,75,12,52,32.82,0.06,0,9621.85,9553.39,8444.28,0.1153,0.445,0.0744,0
Housing Scheme,Housing Department,Tamil Nadu,Coimbatore,52482707.96,35433590.8,34171102.52,49.74,553,173,0.3128,31,1143019.06,1948814.3,1.3,7,Completed,194,1,51,11,74,12.84,0.06,0,224282.5,245864.85,219674.21,0.1168,0.6751,0.1169,0
Hospital Development,Health Department,Maharashtra,Pune,43698103.09,43795336.47,33949642.17,28.7,446,548,1.2287,67,653661.74,3158463.57,4.54,25,Pending,225,0,5,62,52,101.26,0.58,1,64874.68,115455.56,26517.4,1.3709,1.0022,0.7785,1
Bridge Construction,Public Works Department,Maharashtra,Pune,52507796.59,40027762.46,34677819.08,37.57,474,167,0.3523,39,1026352.88,1855966.0,1.51,8,Completed,326,1,77,2,68,7.39,0.07,0,110120.91,99542.31,112603.86,-0.1186,0.7623,0.1609,0
Road Construction,Public Works Department,Uttar Pradesh,Lucknow,34203585.43,28615601.06,27649214.24,35.5,490,454,0.9265,3,9538533.69,49871221.04,6.98,14,Completed,205,0,2,8,93,16.36,0.06,0,222643.6,237353.98,188747.18,0.2183,0.8366,0.2513,0
Hospital Development,Health Department,Telangana,Warangal,39204536.44,13467142.88,10983760.39,94.4,864,364,0.4213,7,1923877.55,5266244.1,8.04,10,Completed,74,0,6,8,64,31.65,0.04,0,235447.63,262011.41,232500.0,0.1253,0.3435,0.0922,0
Water Pipeline,Water Resources Department,Uttar Pradesh,Lucknow,31565465.44,47261854.35,31145140.98,5.52,484,946,1.9545,56,843961.68,2436443.11,5.33,41,Pending,301,1,43,30,11,64.23,0.7,1,169450.81,232701.25,135450.48,0.5739,1.4973,0.7549,1
Electricity Infrastructure,Energy Department,Andhra Pradesh,Nellore,39504033.11,33671702.61,18757605.75,16.99,770,677,0.8792,91,370018.71,1938379.69,1.77,34,Pending,305,0,1,21,37,151.93,0.21,0,75878.82,122651.99,50310.47,0.9534,0.8524,0.6126,1
Welfare Distribution,Social Welfare Department,Karnataka,Mangaluru,17161059.08,9800728.26,9342739.67,96.76,752,332,0.4415,19,515827.8,2252523.77,3.13,16,Completed,352,1,74,0,32,35.93,0.1,0,8387.78,8145.48,7321.2,0.0983,0.5711,0.0366,0
Housing Scheme,Housing Department,Uttar Pradesh,Varanasi,70199765.4,15514011.99,11213795.17,59.17,882,319,0.3617,32,484812.87,1822383.43,7.19,16,Pending,279,1,29,11,94,27.08,0.03,0,102872.51,110939.07,100216.37,0.1042,0.221,0.1217,0
Bridge Construction,Public Works Department,Madhya Pradesh,Ujjain,79536216.29,107014760.64,82302852.98,19.98,454,696,1.533,52,2057976.17,7706885.42,7.87,75,Completed,154,0,0,11,63,186.8,0.78,1,219735.8,344929.6,161864.27,0.8331,1.3455,0.7181,1
School Building,Education Department,Karnataka,Mangaluru,57617187.03,44380775.84,41402640.98,59.76,1092,1049,0.9606,4,11095193.96,52307930.57,2.22,6,Pending,8,1,55,6,87,6.64,0.02,0,150031.1,140793.85,143943.36,-0.021,0.7703,0.1288,0
Housing Scheme,Housing Department,Madhya Pradesh,Ujjain,92809049.43,19445664.95,18122101.72,45.42,545,198,0.3633,16,1215354.06,3764162.41,5.78,14,Pending,238,1,31,10,49,27.36,0.04,0,11710.11,12383.48,11226.57,0.0988,0.2095,0.1299,0
